"Madagascar" "Coral Triangle"
"simplastrea vesicularis" 0 0
"solenastrea bournoni" 0 0
"solenastrea hyades" 0 0
"stylaraea punctata" 19 2
"stylocoeniella armata" 26 1
"stylocoeniella guentheri" 32 4
"stylophora kuehlmanni" 0 0
"stylophora madagascarensis" 28 0
"stylophora mamillata" 19 0
"stylophora pistillata" 47 20
"stylophora wellsi" 19 0
"symphyllia agaricia" 25 6
"symphyllia erythraea" 24 0
"symphyllia hassi" 1 0
"symphyllia radians" 20 7
"symphyllia recta" 25 8
"symphyllia valenciennesii" 24 12
"symphyllia wilsoni" 19 0
"trachyphyllia geoffroyi" 24 10
"turbinaria bifrons" 0 11
"turbinaria conspicua" 0 0
"turbinaria frondens" 22 8
"turbinaria heronensis" 0 3
"turbinaria irregularis" 28 1
"turbinaria mesenterina" 34 25
"turbinaria patula" 0 1
"turbinaria peltata" 30 20
"turbinaria radicalis" 0 0
"turbinaria reniformis" 22 7
"turbinaria stellulata" 33 20
"zoopilus echinatus" 0 4
